Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PATCH,/api/tasks/69ba6b92cfc15ea9c122ac3c,1,1,30.07183299996541,30.07183299996541,30.07183299996541,30.07183299996541,42.0,0.017339164950200662,0.017339164950200662,30,30,30,30,30,30,30,30,30,30,30
DELETE,/api/tasks/69ba6b93cfc15ea9c122ac3d,1,0,86.18682800033639,86.18682800033639,86.18682800033639,86.18682800033639,31.0,0.017339164950200662,0.0,86,86,86,86,86,86,86,86,86,86,86
GET,/api/tasks/69ba6b93cfc15ea9c122ac3d,1,0,58.245071999863285,58.245071999863285,58.245071999863285,58.245071999863285,186.0,0.017339164950200662,0.0,58,58,58,58,58,58,58,58,58,58,58
PATCH,/api/tasks/69ba6b93cfc15ea9c122ac3d,1,1,64.97474099978717,64.97474099978717,64.97474099978717,64.97474099978717,42.0,0.017339164950200662,0.017339164950200662,65,65,65,65,65,65,65,65,65,65,65
DELETE,/api/tasks/69ba6b93cfc15ea9c122ac3e,1,0,98.90343100005339,98.90343100005339,98.90343100005339,98.90343100005339,31.0,0.017339164950200662,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/api/tasks/69ba6b93cfc15ea9c122ac3e,1,0,46.4288849998411,46.4288849998411,46.4288849998411,46.4288849998411,186.0,0.017339164950200662,0.0,46,46,46,46,46,46,46,46,46,46,46
PATCH,/api/tasks/69ba6b93cfc15ea9c122ac3e,1,1,61.14886299974387,61.14886299974387,61.14886299974387,61.14886299974387,42.0,0.017339164950200662,0.017339164950200662,61,61,61,61,61,61,61,61,61,61,61
DELETE,/api/tasks/69ba6b93cfc15ea9c122ac3f,1,0,51.64909500035719,51.64909500035719,51.64909500035719,51.64909500035719,31.0,0.017339164950200662,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,/api/tasks/69ba6b93cfc15ea9c122ac3f,1,0,29.448738000155572,29.448738000155572,29.448738000155572,29.448738000155572,186.0,0.017339164950200662,0.0,29,29,29,29,29,29,29,29,29,29,29
PATCH,/api/tasks/69ba6b93cfc15ea9c122ac3f,1,1,21.320516999821848,21.320516999821848,21.320516999821848,21.320516999821848,42.0,0.017339164950200662,0.017339164950200662,21,21,21,21,21,21,21,21,21,21,21
DELETE,/api/tasks/69ba6b93cfc15ea9c122ac40,1,0,29.82064099978743,29.82064099978743,29.82064099978743,29.82064099978743,31.0,0.017339164950200662,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/tasks/69ba6b93cfc15ea9c122ac40,1,0,37.64069599992581,37.64069599992581,37.64069599992581,37.64069599992581,186.0,0.017339164950200662,0.0,38,38,38,38,38,38,38,38,38,38,38
PATCH,/api/tasks/69ba6b93cfc15ea9c122ac40,1,1,23.73710200026835,23.73710200026835,23.73710200026835,23.73710200026835,42.0,0.017339164950200662,0.017339164950200662,24,24,24,24,24,24,24,24,24,24,24
DELETE,/api/tasks/69ba6b93cfc15ea9c122ac41,1,0,77.19154500000514,77.19154500000514,77.19154500000514,77.19154500000514,31.0,0.017339164950200662,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/api/tasks/69ba6b93cfc15ea9c122ac41,1,0,44.434238000121695,44.434238000121695,44.434238000121695,44.434238000121695,186.0,0.017339164950200662,0.0,44,44,44,44,44,44,44,44,44,44,44
PATCH,/api/tasks/69ba6b93cfc15ea9c122ac41,1,1,40.140107000297576,40.140107000297576,40.140107000297576,40.140107000297576,42.0,0.017339164950200662,0.017339164950200662,40,40,40,40,40,40,40,40,40,40,40
DELETE,/api/tasks/69ba6b93cfc15ea9c122ac42,1,0,103.20898000009038,103.20898000009038,103.20898000009038,103.20898000009038,31.0,0.017339164950200662,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/tasks/69ba6b93cfc15ea9c122ac42,1,0,42.398812000101316,42.398812000101316,42.398812000101316,42.398812000101316,186.0,0.017339164950200662,0.0,42,42,42,42,42,42,42,42,42,42,42
PATCH,/api/tasks/69ba6b93cfc15ea9c122ac42,1,1,52.186354999776086,52.186354999776086,52.186354999776086,52.186354999776086,42.0,0.017339164950200662,0.017339164950200662,52,52,52,52,52,52,52,52,52,52,52
DELETE,/api/tasks/69ba6b93cfc15ea9c122ac43,1,0,112.63946799999758,112.63946799999758,112.63946799999758,112.63946799999758,31.0,0.017339164950200662,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/tasks/69ba6b93cfc15ea9c122ac43,1,0,40.68220399994971,40.68220399994971,40.68220399994971,40.68220399994971,186.0,0.017339164950200662,0.0,41,41,41,41,41,41,41,41,41,41,41
PATCH,/api/tasks/69ba6b93cfc15ea9c122ac43,1,1,73.23516399992513,73.23516399992513,73.23516399992513,73.23516399992513,42.0,0.017339164950200662,0.017339164950200662,73,73,73,73,73,73,73,73,73,73,73
DELETE,/api/tasks/69ba6b94cfc15ea9c122ac44,1,0,42.224229000112246,42.224229000112246,42.224229000112246,42.224229000112246,31.0,0.017339164950200662,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/api/tasks/69ba6b94cfc15ea9c122ac44,1,0,68.10221000023375,68.10221000023375,68.10221000023375,68.10221000023375,186.0,0.017339164950200662,0.0,68,68,68,68,68,68,68,68,68,68,68
PATCH,/api/tasks/69ba6b94cfc15ea9c122ac44,1,1,40.81434199997602,40.81434199997602,40.81434199997602,40.81434199997602,42.0,0.017339164950200662,0.017339164950200662,41,41,41,41,41,41,41,41,41,41,41
DELETE,/api/tasks/69ba6b94cfc15ea9c122ac45,1,0,41.05070900004648,41.05070900004648,41.05070900004648,41.05070900004648,31.0,0.017339164950200662,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/api/tasks/69ba6b94cfc15ea9c122ac45,1,0,42.92247599960319,42.92247599960319,42.92247599960319,42.92247599960319,186.0,0.017339164950200662,0.0,43,43,43,43,43,43,43,43,43,43,43
PATCH,/api/tasks/69ba6b94cfc15ea9c122ac45,1,1,38.71700299987424,38.71700299987424,38.71700299987424,38.71700299987424,42.0,0.017339164950200662,0.017339164950200662,39,39,39,39,39,39,39,39,39,39,39
DELETE,/api/tasks/69ba6b94cfc15ea9c122ac46,1,0,83.40078499986703,83.40078499986703,83.40078499986703,83.40078499986703,31.0,0.017339164950200662,0.0,83,83,83,83,83,83,83,83,83,83,83
GET,/api/tasks/69ba6b94cfc15ea9c122ac46,1,0,348.7484979996225,348.7484979996225,348.7484979996225,348.7484979996225,186.0,0.017339164950200662,0.0,350,350,350,350,350,350,350,350,350,350,350
PATCH,/api/tasks/69ba6b94cfc15ea9c122ac46,1,1,185.08303299995532,185.08303299995532,185.08303299995532,185.08303299995532,42.0,0.017339164950200662,0.017339164950200662,190,190,190,190,190,190,190,190,190,190,190
