Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/tasks,29,0,2100.0,2716.258560310335,1306.103339999936,21051.231157000075,877762.1724137932,1.2253762543452769,0.0,2100,2300,2300,2600,2700,2800,21000,21000,21000,21000,21000
POST,/api/tasks,29,0,1200.0,1368.3187215516416,110.77224200016644,2538.7614060000487,186.0,1.2253762543452769,0.0,1200,1600,1800,2200,2400,2500,2500,2500,2500,2500,2500
DELETE,/api/tasks/69ba75d0cfc15ea9c122ae19,1,0,118.24475100002019,118.24475100002019,118.24475100002019,118.24475100002019,31.0,0.04225435359811299,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/tasks/69ba75d0cfc15ea9c122ae19,1,0,926.828435999596,926.828435999596,926.828435999596,926.828435999596,186.0,0.04225435359811299,0.0,930,930,930,930,930,930,930,930,930,930,930
PATCH,/api/tasks/69ba75d0cfc15ea9c122ae19,1,1,400.57944000000134,400.57944000000134,400.57944000000134,400.57944000000134,42.0,0.04225435359811299,0.04225435359811299,400,400,400,400,400,400,400,400,400,400,400
DELETE,/api/tasks/69ba75d0cfc15ea9c122ae1a,1,0,803.6416519998966,803.6416519998966,803.6416519998966,803.6416519998966,31.0,0.04225435359811299,0.0,800,800,800,800,800,800,800,800,800,800,800
GET,/api/tasks/69ba75d0cfc15ea9c122ae1a,1,0,891.6591460001655,891.6591460001655,891.6591460001655,891.6591460001655,186.0,0.04225435359811299,0.0,890,890,890,890,890,890,890,890,890,890,890
PATCH,/api/tasks/69ba75d0cfc15ea9c122ae1a,1,1,38.50492299989128,38.50492299989128,38.50492299989128,38.50492299989128,42.0,0.04225435359811299,0.04225435359811299,39,39,39,39,39,39,39,39,39,39,39
DELETE,/api/tasks/69ba75d0cfc15ea9c122ae1b,1,0,209.6390019996761,209.6390019996761,209.6390019996761,209.6390019996761,31.0,0.04225435359811299,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/tasks/69ba75d0cfc15ea9c122ae1b,1,0,58.43010700027662,58.43010700027662,58.43010700027662,58.43010700027662,186.0,0.04225435359811299,0.0,58,58,58,58,58,58,58,58,58,58,58
PATCH,/api/tasks/69ba75d0cfc15ea9c122ae1b,1,1,32.09717199933948,32.09717199933948,32.09717199933948,32.09717199933948,42.0,0.04225435359811299,0.04225435359811299,32,32,32,32,32,32,32,32,32,32,32
