Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/tasks,111,0,820.0,952.7857821351048,470.4439150000326,2428.9374329991915,872119.7567567568,3.802775540529177,0.0,820,900,1200,1300,1500,1800,2000,2300,2400,2400,2400
POST,/api/tasks,108,0,56,113.73266781481982,40.53876600028161,663.6794189998909,186.0,3.699997823217578,0.0,57,84,110,130,310,360,560,640,660,660,660
DELETE,/api/tasks/69ba7592cfc15ea9c122acb2,1,0,44.132343000455876,44.132343000455876,44.132343000455876,44.132343000455876,31.0,0.03425923910386646,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/api/tasks/69ba7592cfc15ea9c122acb2,1,0,54.50550699970336,54.50550699970336,54.50550699970336,54.50550699970336,186.0,0.03425923910386646,0.0,55,55,55,55,55,55,55,55,55,55,55
PATCH,/api/tasks/69ba7592cfc15ea9c122acb2,1,1,34.22528400005831,34.22528400005831,34.22528400005831,34.22528400005831,42.0,0.03425923910386646,0.03425923910386646,34,34,34,34,34,34,34,34,34,34,34
DELETE,/api/tasks/69ba7593cfc15ea9c122acb3,1,0,40.52474699983577,40.52474699983577,40.52474699983577,40.52474699983577,31.0,0.03425923910386646,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/api/tasks/69ba7593cfc15ea9c122acb3,1,0,28.871427000012773,28.871427000012773,28.871427000012773,28.871427000012773,186.0,0.03425923910386646,0.0,29,29,29,29,29,29,29,29,29,29,29
PATCH,/api/tasks/69ba7593cfc15ea9c122acb3,1,1,25.78367200021603,25.78367200021603,25.78367200021603,25.78367200021603,42.0,0.03425923910386646,0.03425923910386646,26,26,26,26,26,26,26,26,26,26,26
DELETE,/api/tasks/69ba7593cfc15ea9c122acb4,1,0,31.94186900054774,31.94186900054774,31.94186900054774,31.94186900054774,31.0,0.03425923910386646,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/tasks/69ba7593cfc15ea9c122acb4,1,0,34.70673599986185,34.70673599986185,34.70673599986185,34.70673599986185,186.0,0.03425923910386646,0.0,35,35,35,35,35,35,35,35,35,35,35
PATCH,/api/tasks/69ba7593cfc15ea9c122acb4,1,1,22.508498999741278,22.508498999741278,22.508498999741278,22.508498999741278,42.0,0.03425923910386646,0.03425923910386646,23,23,23,23,23,23,23,23,23,23,23
DELETE,/api/tasks/69ba7593cfc15ea9c122acb5,1,0,246.91734699990775,246.91734699990775,246.91734699990775,246.91734699990775,31.0,0.03425923910386646,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/tasks/69ba7593cfc15ea9c122acb5,1,0,31.30589400007011,31.30589400007011,31.30589400007011,31.30589400007011,186.0,0.03425923910386646,0.0,31,31,31,31,31,31,31,31,31,31,31
PATCH,/api/tasks/69ba7593cfc15ea9c122acb5,1,1,23.911801999929594,23.911801999929594,23.911801999929594,23.911801999929594,42.0,0.03425923910386646,0.03425923910386646,24,24,24,24,24,24,24,24,24,24,24
DELETE,/api/tasks/69ba7593cfc15ea9c122acb6,1,0,31.661465000070166,31.661465000070166,31.661465000070166,31.661465000070166,31.0,0.03425923910386646,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/tasks/69ba7593cfc15ea9c122acb6,1,0,27.460960000098567,27.460960000098567,27.460960000098567,27.460960000098567,186.0,0.03425923910386646,0.0,27,27,27,27,27,27,27,27,27,27,27
PATCH,/api/tasks/69ba7593cfc15ea9c122acb6,1,1,21.550046999436745,21.550046999436745,21.550046999436745,21.550046999436745,42.0,0.03425923910386646,0.03425923910386646,22,22,22,22,22,22,22,22,22,22,22
DELETE,/api/tasks/69ba7593cfc15ea9c122acb7,1,0,29.64795099978801,29.64795099978801,29.64795099978801,29.64795099978801,31.0,0.03425923910386646,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/tasks/69ba7593cfc15ea9c122acb7,1,0,31.1549180005386,31.1549180005386,31.1549180005386,31.1549180005386,186.0,0.03425923910386646,0.0,31,31,31,31,31,31,31,31,31,31,31
PATCH,/api/tasks/69ba7593cfc15ea9c122acb7,1,1,21.191718999943987,21.191718999943987,21.191718999943987,21.191718999943987,42.0,0.03425923910386646,0.03425923910386646,21,21,21,21,21,21,21,21,21,21,21
DELETE,/api/tasks/69ba7593cfc15ea9c122acb8,1,0,29.509226999834937,29.509226999834937,29.509226999834937,29.509226999834937,31.0,0.03425923910386646,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/tasks/69ba7593cfc15ea9c122acb8,1,0,248.1706700000359,248.1706700000359,248.1706700000359,248.1706700000359,186.0,0.03425923910386646,0.0,250,250,250,250,250,250,250,250,250,250,250
